Feature Word,Priority Index Old,Proximity Score,Neighbour,Section
point,0.11714965426444683,0.7535206530675023,floating,NA
754,0.17067077038566827,0.7707343378355027,floating,NA
clock,0.30314668001532125,1.0,IEEE,NA
ARM,1.0,0.6093702236089847,barrel,NA
shifter,1.0,0.6204889476702534,barrel,NA
representation,0.630235617863052,0.59328590380873,representation,NA
floating,0.12624251023565047,0.7707343378355027,754,NA
cycles,0.23467931295129385,0.7371875555876196,754,NA
IEEE,0.31428571428492574,1.0,clock,NA
barrel,0.7985940510759194,0.6204889476702534,shifter,NA
barrel,0.7985940510759194,0.6204889476702534,shifter clock,NA
point representation,0.0,0.6432425661385107,point,NA
barrel shifter,0.0,0.6458234178671102,point,NA
shifter clock,1.0,0.6204889476702534,barrel,NA
