S.No,Word,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,English Dictionary Match,Number Match,Abbreviation Match,Symbol Match,Repetitive Word
1,begin '  65279 ',0 0 0 0,TaggedPDF-doc <built-in function ProcessingInstruction> statement word,{},0.0013227513227513227,1.2671717284030137,0.0016761530798981663,No,No,No,No,No
2,"begin ""  65279 """,0 1 0 0,TaggedPDF-doc <built-in function ProcessingInstruction> statement word,{},0.0013227513227513227,0.01189922329970769,1.5739713359401704e-05,No,No,No,No,No
3,xml,0 2 0 0 0 0 0,TaggedPDF-doc {adobe:ns:meta/}xmpmeta {http://www.w3.org/1999/02/22-rdf-syntax-ns#}RDF {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Description {http://purl.org/dc/elements/1.1/}format statement word,{},0.0013227513227513227,0.01189922329970769,1.5739713359401704e-05,No,No,No,No,No
4,barun,0 2 0 0 1 0 0 0 0,TaggedPDF-doc {adobe:ns:meta/}xmpmeta {http://www.w3.org/1999/02/22-rdf-syntax-ns#}RDF {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Description {http://purl.org/dc/elements/1.1/}creator {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Seq {http://www.w3.org/1999/02/22-rdf-syntax-ns#}li statement word,{},0.0013227513227513227,1.0910804693473326,0.0014432281340573182,No,No,No,No,No
5,Microsoft,0 2 0 0 2 0 0 0 0,TaggedPDF-doc {adobe:ns:meta/}xmpmeta {http://www.w3.org/1999/02/22-rdf-syntax-ns#}RDF {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Description {http://purl.org/dc/elements/1.1/}title {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Alt {http://www.w3.org/1999/02/22-rdf-syntax-ns#}li statement word,{},0.0013227513227513227,0.6139592146276701,0.0008121153632641139,No,No,No,No,No
6,Word,0 2 0 0 2 0 0 0 1,TaggedPDF-doc {adobe:ns:meta/}xmpmeta {http://www.w3.org/1999/02/22-rdf-syntax-ns#}RDF {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Description {http://purl.org/dc/elements/1.1/}title {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Alt {http://www.w3.org/1999/02/22-rdf-syntax-ns#}li statement word,{},0.0013227513227513227,0.26717172840301384,0.0003534017571468437,"Yes (en_US, en_GB, en_AU)",No,No,No,No
7,PScript5.dll,0 2 0 1 1 0 0,TaggedPDF-doc {adobe:ns:meta/}xmpmeta {http://www.w3.org/1999/02/22-rdf-syntax-ns#}RDF {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Description {http://ns.adobe.com/xap/1.0/}CreatorTool statement word,{},0.0013227513227513227,0.6139592146276701,0.0008121153632641139,No,No,No,No,No
8,Version,0 2 0 1 1 0 1,TaggedPDF-doc {adobe:ns:meta/}xmpmeta {http://www.w3.org/1999/02/22-rdf-syntax-ns#}RDF {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Description {http://ns.adobe.com/xap/1.0/}CreatorTool statement word,{},0.0013227513227513227,0.22577904324478879,0.00029864952810157246,"Yes (en_US, en_GB, en_AU)",No,No,No,No
9,5.2,0 2 0 1 1 0 2,TaggedPDF-doc {adobe:ns:meta/}xmpmeta {http://www.w3.org/1999/02/22-rdf-syntax-ns#}RDF {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Description {http://ns.adobe.com/xap/1.0/}CreatorTool statement word,{},0.0013227513227513227,0.7900504736833514,0.001045040309104962,"Yes (en_US, en_GB, en_AU)",Yes,No,No,No
10,GPL,0 2 0 2 0 0 0,TaggedPDF-doc {adobe:ns:meta/}xmpmeta {http://www.w3.org/1999/02/22-rdf-syntax-ns#}RDF {http://www.w3.org/1999/02/22-rdf-syntax-ns#}Description {http://ns.adobe.com/pdf/1.3/}Producer statement word,{},0.0013227513227513227,1.0910804693473326,0.0014432281340573182,No,No,Yes,No,No
