S.No,Bigram,Location Vector,Signature,Signature Weight,Tf,Idf,Tf - Idf Score,Is First Letter Capitalized,POS
1,ARM and,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,1.568201724066995,0.14256379309699954,No,"['NN', 'CC']"
2,and barrel,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,1.568201724066995,0.14256379309699954,No,"['CC', 'NN']"
3,barrel shifter,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,1.0910804693473326,0.09918913357703024,No,"['NN', 'NN']"
4,shifter clock,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,1.568201724066995,0.14256379309699954,No,"['NN', 'NN']"
5,clock cycles,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,0.52680903890877,0.04789173080988818,No,"['NN', 'NNS']"
6,cycles floating,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,1.568201724066995,0.14256379309699954,No,"['NNS', 'VBG']"
7,floating point,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,0.3640817414110702,0.033098340128279106,No,"['VBG', 'NN']"
8,point representation,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,1.0910804693473326,0.09918913357703024,No,"['NN', 'NN']"
9,representation in,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,1.2671717284030137,0.11519742985481943,No,"['NN', 'IN']"
10,in IEEE,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,0.6651117370750514,0.06046470337045923,No,"['IN', 'NNP']"
11,IEEE 754,0 0 0,"['query', 'body', 'statement', 'word']",{},0.09090909090909091,0.422073688388757,0.03837033530806882,No,"['NNP', 'CD']"
