Word,PI Score,Tf-Idf,Loc Ind,Loc Sig,Section
gt,0.377020770733,0.0001052760005159526,0 19 1 5 12 4 9 1 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
Plus,0.418796006034,0.00012226666619095076,0 19 1 5 12 4 2 2 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
Overflow,0.131543814964,1.992221999704768e-05,0 19 1 5 12 4 3 2 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
condition,0.560277912566,0.0003774762470238288,0 19 1 5 12 1 1 7,TaggedPDF-doc Part Sect Sect Sect P statement word,4.1 Condition Encoding
zero,0.208987805792,5.1557647318219576e-05,0 19 1 5 12 4 2 2 0 4,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
extension,0.519499918373,0.0002516108798912513,0 19 1 5 12 3 0 1 0 1,TaggedPDF-doc Part Sect Sect Sect Table TR TH statement word,4.1 Condition Encoding
mi,0.418796006034,0.00012226666619095076,0 19 1 5 12 4 1 1 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
lo,0.418796006034,0.00012226666619095076,0 19 1 5 12 3 4 1 0 2,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
Minus,0.418796006034,0.00012226666619095076,0 19 1 5 12 4 1 2 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
Unsigned,0.482794293718,0.00018644186274392757,0 19 1 5 12 4 6 2 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
pl,0.418796006034,0.00012226666619095076,0 19 1 5 12 4 2 1 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
Invalid,0.147873410815,2.7928224924176582e-05,0 19 1 5 12 4 12 2 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
execution,0.501300229213,0.0002192982339123871,0 19 1 5 12 1 0 6,TaggedPDF-doc Part Sect Sect Sect P statement word,4.1 Condition Encoding
cc,0.322414853622,8.387029329708377e-05,0 19 1 5 12 3 4 1 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
Signed,0.559425022197,0.00037288372548785514,0 19 1 5 12 4 7 2 0 0,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
Condition,0.593834272852,0.0005581657152085976,0 19 1 5 12 0 0 1,TaggedPDF-doc Part Sect Sect Sect H3 statement word,4.1 Condition Encoding
overflow,0.39724538324,0.00011350167840929576,0 19 1 5 12 4 4 2 0 1,TaggedPDF-doc Part Sect Sect Sect Table TR TD statement word,4.1 Condition Encoding
