Word,PI Score,Tf-Idf,Loc Ind,Loc Sig,Section
Article,0.780579230819,0.001676972863550175,0 5 3 6 1 1,TaggedPDF-doc Part Sect P statement word,'Table of Content'
Unit,0.246739986538,8.675467559838186e-05,0 5 3 3 1 4,TaggedPDF-doc Part Sect P statement word,'Table of Content'
Information,0.55133687339,0.0002797938454647994,0 5 3 7 1 1,TaggedPDF-doc Part Sect P statement word,'Table of Content'
Supported,0.55020470944,0.00027784963844485616,0 5 3 3 7 0,TaggedPDF-doc Part Sect P statement word,'Table of Content'
Content,0.604132438849,0.00041924321588754376,0 5 3 1 0 2,TaggedPDF-doc Part Sect P statement word,'Table of Content'
Absolute,0.630499605167,0.0005458229818126753,0 5 3 5 5 0,TaggedPDF-doc Part Sect P statement word,'Table of Content'
Introduction,0.492110671923,0.0002024242224433314,0 5 3 2 1 0,TaggedPDF-doc Part Sect P statement word,'Table of Content'
Architecture,0.610242071838,0.00043665838545014026,0 5 5 6 0 1 2,TaggedPDF-doc Part Sect Sect H4 statement word,'2-2'
block,0.492110671923,0.0002024242224433314,0 5 5 6 1 1 2,TaggedPDF-doc Part Sect Sect P statement word,'2-2'
Exponent,0.748493568214,0.0013560016081082898,0 5 6 5 19 0 0,TaggedPDF-doc Part Sect Sect P statement word,'4-2'
value,0.620343744892,0.0004896392295633989,0 5 6 5 15 0 19,TaggedPDF-doc Part Sect Sect P statement word,'4-2'
comparison,0.666895811961,0.0007641521745377454,0 5 6 5 20 0 1 0 3,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-2'
appropriate,0.183923472953,6.489006775960058e-05,0 5 6 5 15 0 18,TaggedPDF-doc Part Sect Sect P statement word,'4-2'
generation,0.687662224254,0.0009109090009949913,0 5 6 5 20 6 0 1 0 4,TaggedPDF-doc Part Sect Sect L L LI LI_Title statement word,'4-2'
Output,0.241181891528,8.479581560607553e-05,0 5 6 5 20 6 0 1 0 0,TaggedPDF-doc Part Sect Sect L L LI LI_Title statement word,'4-2'
convert,0.247931095488,8.727346239388248e-05,0 5 6 6 16 1 19,TaggedPDF-doc Part Sect Sect P statement word,'4-3'
calculation,0.869849403856,0.002830935859954675,0 5 6 6 21 3 1 0 5,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-3'
Swap,0.622396993232,0.0005009981093550296,0 5 6 6 2 0 1,TaggedPDF-doc Part Sect Sect P statement word,'4-3'
Normalization,0.663828024439,0.0007424720328445976,0 5 6 6 6 0 1,TaggedPDF-doc Part Sect Sect P statement word,'4-3'
Calculation,0.632493593199,0.0005568540246334482,0 5 6 6 4 0 1,TaggedPDF-doc Part Sect Sect P statement word,'4-3'
Alignment,0.780579230819,0.001676972863550175,0 5 6 6 3 0 1,TaggedPDF-doc Part Sect Sect P statement word,'4-3'
Logic,0.315124584344,0.00010916459636253507,0 5 6 6 11 0 2,TaggedPDF-doc Part Sect Sect P statement word,'4-3'
Exp,0.724182041512,0.001168995588495069,0 5 6 6 16 1 12,TaggedPDF-doc Part Sect Sect P statement word,'4-3'
normalization,0.632284859245,0.0005556992768897123,0 5 6 6 21 4 1 0 1,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-3'
input,0.278388795706,9.736931297811849e-05,0 5 6 6 21 7 1 0 5,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-3'
bit,0.675404496636,0.0008242832911994154,0 5 6 6 20 0 1 0 1,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-3'
Internal,0.667256251177,0.0007666994087320478,0 5 6 6 14 0 0,TaggedPDF-doc Part Sect Sect P statement word,'4-3'
field,0.665365048658,0.0007533342267268277,0 5 6 6 16 0 1,TaggedPDF-doc Part Sect Sect P statement word,'4-3'
swap,0.798471932338,0.0018561800821114938,0 5 6 7 15 0 1 0 6,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-4'
shift,0.682342841381,0.0008733167709002805,0 5 6 7 15 2 1 0 1,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-4'
Sign,0.666895811961,0.0007641521745377454,0 5 6 7 14 0 1 0 0,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-4'
order,0.570876966547,0.0003244503387980029,0 5 6 7 11 0 12,TaggedPDF-doc Part Sect Sect P statement word,'4-4'
position,0.4154582475,0.0001517868345212971,0 5 6 7 11 1 16,TaggedPDF-doc Part Sect Sect P statement word,'4-4'
Exception,0.642265599139,0.0006109142367571773,0 5 6 7 15 6 0 1 0 3,TaggedPDF-doc Part Sect Sect L L LI LI_Title statement word,'4-4'
Set,0.579522464133,0.0003490938495755299,0 5 6 7 15 2 1 0 9,TaggedPDF-doc Part Sect Sect L LI LI_Title statement word,'4-4'
minus,0.44158170406,0.00016699936978500986,0 5 6 7 11 1 11,TaggedPDF-doc Part Sect Sect P statement word,'4-4'
